player_no,Position
400,Midfield
401,Midfield
402,Midfield
403,Midfield
404,Midfield
405,Midfield
406,Midfield
407,Midfield
408,Midfield
409,Midfield
410,Midfield
411,Midfield
412,Midfield
413,Midfield
414,Midfield
415,Midfield
416,Midfield
417,Midfield
418,Midfield
419,Midfield
420,Midfield
421,Midfield
422,Midfield
423,Midfield
424,Midfield
425,Midfield
426,Midfield
427,Midfield
428,Midfield
429,Midfield
430,Midfield
431,Midfield
432,Midfield
433,Midfield
434,Midfield
435,Midfield
436,Midfield
437,Midfield
438,Midfield
439,Midfield
440,Midfield
441,Midfield
442,Midfield
443,Midfield
444,Midfield
445,Midfield
446,Midfield
447,Midfield
448,Midfield
449,Midfield
450,Midfield
451,Midfield
452,Midfield
453,Midfield
454,Midfield
455,Midfield
456,Midfield
457,Midfield
458,Midfield
459,Midfield
460,Midfield
461,Midfield
462,Midfield
463,Midfield
464,Midfield
465,Midfield
466,Midfield
467,Midfield
468,Midfield
469,Midfield
470,Midfield
471,Midfield
472,Midfield
473,Midfield
474,Midfield
475,Midfield
476,Midfield
477,Midfield
478,Midfield
479,Midfield
