player_no,Height[cm],Back_strengh[N],Sargent_jump[cm],Reaction_time[msec],Side_step[m/s],Flexibility[cm],Position
0,164.73,139.92,59.53,177.07,41.82,21.69,Midfield
1,164.78,105.77,65.46,217.62,38.94,11.03,Defender
2,166.03,123.22,56.5,203.2,39.11,8.17,Forward
3,167.06,111.32,65.91,211.16,40.51,24.18,Midfield
4,167.33,127.71,62.01,163.1,41.05,20.68,Midfield
5,167.92,119.4,70.97,241.97,41.53,22.51,Midfield
6,167.92,135.25,55.16,176.67,34.87,17.3,Forward
7,168.04,112.21,64.19,163.88,42.5,23.87,Midfield
8,168.07,157.55,51.75,191.21,33.56,13.68,Forward
9,168.14,121.85,54.64,215.1,38.42,17.29,Defender
10,168.65,131.36,63.61,222.53,37.5,25.32,Midfield
11,168.89,101.31,59.74,203.97,34.13,15.89,Defender
12,169.0,125.22,58.13,215.75,35.98,21.48,Midfield
13,169.76,119.36,66.75,224.66,41.69,21.16,Midfield
14,169.78,138.67,68.66,189.84,41.92,25.45,Midfield
15,170.14,125.71,67.44,208.91,37.62,21.72,Midfield
16,170.21,112.3,63.08,219.93,44.52,19.06,Midfield
17,170.26,132.56,62.39,225.47,35.66,19.08,Forward
18,170.75,96.68,60.26,207.16,44.86,16.96,Defender
19,170.96,141.52,62.57,180.89,37.63,13.6,Forward
20,171.11,132.53,59.11,227.63,36.98,13.19,Forward
21,171.17,102.8,60.82,206.15,42.15,14.85,Defender
22,171.25,131.17,64.0,209.55,36.5,24.15,Midfield
23,171.32,128.49,58.95,198.96,43.22,24.59,Midfield
24,171.37,120.03,69.18,195.11,32.92,20.68,Midfield
25,171.66,114.57,63.65,223.06,35.39,16.66,Midfield
26,171.77,105.33,61.09,202.42,34.54,15.11,Forward
27,171.82,113.97,59.23,204.69,39.59,17.69,Defender
28,171.9,140.17,60.36,197.94,35.23,12.59,Forward
29,171.93,127.61,59.85,238.71,34.32,17.11,Midfield
30,172.16,163.01,58.92,201.2,33.29,18.35,Forward
31,172.17,146.13,67.89,175.63,41.3,22.82,Midfield
32,172.24,111.42,66.81,223.43,34.46,16.56,Defender
33,172.36,130.24,57.05,194.19,37.3,15.69,Forward
34,172.48,137.23,60.68,165.51,33.77,17.43,Forward
35,172.72,113.16,66.23,208.91,39.26,18.73,Midfield
